image_id,file_size_kb,width,height,aspect_ratio,sharpness_lapvar,noise_estimate,watermark_region_mean,source_type,error
IMG_03649,129.943359375,640,640,1.0,6863.28,17.5845,113.28,unknown,
IMG_00820,81.1796875,640,640,1.0,2587.51,13.204,156.53,unknown,
IMG_09013,122.55078125,640,640,1.0,7035.19,17.1472,51.73,unknown,
IMG_08025,29.6357421875,640,640,1.0,672.04,6.3471,142.31,unknown,
IMG_07315,49.970703125,640,640,1.0,1182.06,8.0502,100.9,unknown,
IMG_04573,132.322265625,640,640,1.0,8545.16,18.9013,138.4,unknown,
IMG_03359,96.71484375,640,640,1.0,2454.56,11.6289,129.6,unknown,
IMG_17871,108.099609375,640,640,1.0,4623.33,15.5801,187.12,unknown,
IMG_02849,86.6689453125,640,640,1.0,3213.21,12.8555,139.45,unknown,
IMG_13826,62.96484375,640,640,1.0,1343.65,8.2247,30.45,unknown,
IMG_01042,64.044921875,640,640,1.0,2259.31,9.6656,164.8,unknown,
IMG_00977,140.0830078125,640,640,1.0,9749.72,20.6619,66.94,unknown,
IMG_03071,117.5263671875,640,640,1.0,5381.14,15.535,147.1,unknown,
IMG_07165,39.6826171875,640,640,1.0,494.73,5.5522,57.25,unknown,
IMG_07624,134.1494140625,640,640,1.0,8487.73,19.0539,184.05,unknown,
IMG_16560,134.2734375,640,640,1.0,8345.83,18.8656,90.92,unknown,
IMG_00870,86.177734375,640,640,1.0,1699.9,9.4097,101.44,unknown,
IMG_18391,76.841796875,640,640,1.0,4119.96,13.6559,155.36,unknown,
IMG_06516,124.46484375,640,640,1.0,5996.56,16.8954,99.98,unknown,
IMG_17857,88.3466796875,640,640,1.0,4147.93,14.7881,119.9,unknown,
IMG_13747,77.744140625,640,640,1.0,1257.01,9.176,68.87,unknown,
IMG_07224,120.2822265625,640,640,1.0,5950.63,16.3433,151.19,unknown,
IMG_14720,133.5390625,640,640,1.0,9362.8,19.2746,171.35,unknown,
IMG_09116,135.1015625,640,640,1.0,9644.22,19.6821,123.24,unknown,
IMG_00213,163.2763671875,640,640,1.0,14921.17,23.991,162.15,unknown,
IMG_05232,114.5185546875,640,640,1.0,4203.06,14.0648,63.53,unknown,
IMG_13849,95.357421875,640,640,1.0,3160.46,11.9357,87.56,unknown,
IMG_11150,54.529296875,640,640,1.0,1935.34,9.7394,76.7,unknown,
IMG_09106,167.22265625,640,640,1.0,15810.39,25.1046,138.2,unknown,
IMG_05095,59.1982421875,640,640,1.0,1201.39,9.0965,138.9,unknown,
IMG_07056,55.4296875,640,640,1.0,619.36,6.1094,61.28,unknown,
IMG_11030,143.486328125,640,640,1.0,10740.96,21.3048,98.91,unknown,
IMG_03350,37.017578125,640,640,1.0,433.8,5.779,39.1,unknown,
IMG_03040,80.5849609375,640,640,1.0,1409.06,9.4763,117.76,unknown,
IMG_12450,148.5634765625,640,640,1.0,11729.93,23.4659,149.6,unknown,
IMG_03170,72.763671875,640,640,1.0,2393.76,12.1349,88.86,unknown,
IMG_11764,83.57421875,640,640,1.0,1817.85,12.0229,146.37,unknown,
IMG_11271,80.7646484375,640,640,1.0,1514.62,10.842,142.78,unknown,
IMG_08668,158.7998046875,640,640,1.0,14600.95,24.0883,122.86,unknown,
IMG_01424,127.140625,640,640,1.0,7100.31,17.6211,169.83,unknown,
IMG_15055,80.78515625,640,640,1.0,3037.47,11.6109,112.49,unknown,
IMG_17572,62.0478515625,640,640,1.0,670.1,6.1406,89.58,unknown,
IMG_04091,77.1552734375,640,640,1.0,979.11,7.8286,106.88,unknown,
IMG_12404,136.501953125,640,640,1.0,6628.64,19.0689,83.15,unknown,
IMG_02583,55.7958984375,640,640,1.0,1363.6,9.5942,172.46,unknown,
IMG_18090,125.23046875,640,640,1.0,6078.96,16.2926,113.8,unknown,
IMG_09607,143.3798828125,640,640,1.0,10671.93,20.7773,103.35,unknown,
