country_iso,country_idx
-99,0
AD,1
AE,2
AF,3
AL,4
AM,5
AO,6
AR,7
AT,8
AU,9
AX,10
AZ,11
BD,12
BF,13
BG,14
BI,15
BJ,16
BO,17
BR,18
BT,19
BW,20
BY,21
CA,22
CD,23
CF,24
CG,25
CH,26
CI,27
CK,28
CL,29
CM,30
CN,31
CN-TW,32
CO,33
CR,34
CY,35
CZ,36
DE,37
DJ,38
DK,39
DZ,40
EC,41
EE,42
EG,43
ER,44
ES,45
ET,46
FI,47
FO,48
FR,49
FR-973,50
GA,51
GG,52
GH,53
GN,54
GQ,55
GR,56
GW,57
GY,58
HR,59
HU,60
ID,61
IE,62
IL,63
IN,64
IR,65
IT,66
JO,67
JP,68
KE,69
KG,70
KH,71
KR,72
KZ,73
LB,74
LK,75
LR,76
LS,77
LT,78
LU,79
LV,80
LY,81
MA,82
MD,83
ME,84
MG,85
MK,86
ML,87
MM,88
MN,89
MR,90
MT,91
MW,92
MX,93
MY,94
MZ,95
NC,96
NE,97
NG,98
NO,99
NP,100
NZ,101
OCEAN,102
PA,103
PE,104
PF,105
PH,106
PK,107
PL,108
PW,109
PY,110
QA,111
RO,112
RU,113
RW,114
SA,115
SB,116
SD,117
SE,118
SI,119
SJ,120
SK,121
SL,122
SN,123
SR,124
SS,125
ST,126
SY,127
SZ,128
TD,129
TG,130
TH,131
TJ,132
TL,133
TM,134
TN,135
TR,136
TZ,137
UA,138
UG,139
US,140
UY,141
UZ,142
VE,143
VI,144
VN,145
YE,146
ZA,147
ZM,148
ZW,149
